PING 2.2.2.4 (2.2.2.4) 56(84) bytes of data.
64 bytes from 2.2.2.4: icmp_seq=36 ttl=64 time=0.171 ms
64 bytes from 2.2.2.4: icmp_seq=37 ttl=64 time=0.180 ms
64 bytes from 2.2.2.4: icmp_seq=38 ttl=64 time=0.139 ms
64 bytes from 2.2.2.4: icmp_seq=39 ttl=64 time=0.183 ms
64 bytes from 2.2.2.4: icmp_seq=40 ttl=64 time=0.131 ms
64 bytes from 2.2.2.4: icmp_seq=41 ttl=64 time=0.220 ms
64 bytes from 2.2.2.4: icmp_seq=42 ttl=64 time=0.153 ms
64 bytes from 2.2.2.4: icmp_seq=43 ttl=64 time=0.161 ms
64 bytes from 2.2.2.4: icmp_seq=44 ttl=64 time=0.129 ms
64 bytes from 2.2.2.4: icmp_seq=45 ttl=64 time=0.155 ms
64 bytes from 2.2.2.4: icmp_seq=46 ttl=64 time=0.125 ms
64 bytes from 2.2.2.4: icmp_seq=47 ttl=64 time=0.165 ms
64 bytes from 2.2.2.4: icmp_seq=48 ttl=64 time=0.129 ms
64 bytes from 2.2.2.4: icmp_seq=49 ttl=64 time=0.163 ms
64 bytes from 2.2.2.4: icmp_seq=50 ttl=64 time=0.141 ms
64 bytes from 2.2.2.4: icmp_seq=51 ttl=64 time=0.156 ms
64 bytes from 2.2.2.4: icmp_seq=52 ttl=64 time=0.160 ms
64 bytes from 2.2.2.4: icmp_seq=53 ttl=64 time=0.167 ms
64 bytes from 2.2.2.4: icmp_seq=54 ttl=64 time=0.136 ms
64 bytes from 2.2.2.4: icmp_seq=55 ttl=64 time=0.167 ms
64 bytes from 2.2.2.4: icmp_seq=56 ttl=64 time=0.176 ms
64 bytes from 2.2.2.4: icmp_seq=57 ttl=64 time=0.097 ms
64 bytes from 2.2.2.4: icmp_seq=58 ttl=64 time=0.066 ms
64 bytes from 2.2.2.4: icmp_seq=59 ttl=64 time=0.093 ms
64 bytes from 2.2.2.4: icmp_seq=60 ttl=64 time=0.059 ms
64 bytes from 2.2.2.4: icmp_seq=61 ttl=64 time=0.106 ms
64 bytes from 2.2.2.4: icmp_seq=62 ttl=64 time=0.076 ms
64 bytes from 2.2.2.4: icmp_seq=63 ttl=64 time=0.102 ms
64 bytes from 2.2.2.4: icmp_seq=64 ttl=64 time=0.078 ms
64 bytes from 2.2.2.4: icmp_seq=65 ttl=64 time=0.100 ms
64 bytes from 2.2.2.4: icmp_seq=66 ttl=64 time=0.074 ms
64 bytes from 2.2.2.4: icmp_seq=67 ttl=64 time=0.081 ms
64 bytes from 2.2.2.4: icmp_seq=68 ttl=64 time=0.077 ms
64 bytes from 2.2.2.4: icmp_seq=69 ttl=64 time=0.098 ms
64 bytes from 2.2.2.4: icmp_seq=70 ttl=64 time=0.059 ms
64 bytes from 2.2.2.4: icmp_seq=71 ttl=64 time=0.080 ms
64 bytes from 2.2.2.4: icmp_seq=72 ttl=64 time=0.073 ms
64 bytes from 2.2.2.4: icmp_seq=73 ttl=64 time=0.109 ms
64 bytes from 2.2.2.4: icmp_seq=74 ttl=64 time=0.078 ms
64 bytes from 2.2.2.4: icmp_seq=75 ttl=64 time=0.110 ms
64 bytes from 2.2.2.4: icmp_seq=76 ttl=64 time=0.077 ms
64 bytes from 2.2.2.4: icmp_seq=77 ttl=64 time=0.116 ms
64 bytes from 2.2.2.4: icmp_seq=78 ttl=64 time=0.081 ms
64 bytes from 2.2.2.4: icmp_seq=79 ttl=64 time=0.095 ms
64 bytes from 2.2.2.4: icmp_seq=80 ttl=64 time=0.079 ms
64 bytes from 2.2.2.4: icmp_seq=81 ttl=64 time=0.103 ms
