命令执行开始时间: 2025-09-01 14:59:37
服务器: 10.50.36.56:22
用户: root
目标地址: 1.1.1.4
ping次数: 300
执行命令: ping 1.1.1.4 -c 300
--------------------------------------------------------------------------------

Last login: Mon Sep  1 14:41:11 2025 from 10.11.35.230
ping 1.1.1.4 -c 300
[root@localhost ~]# ping 1.1.1.4 -c 300
PING 1.1.1.4 (1.1.1.4) 56(84) bytes of data.
64 bytes from 1.1.1.4: icmp_seq=88 ttl=64 time=0.167 ms
64 bytes from 1.1.1.4: icmp_seq=89 ttl=64 time=0.194 ms
64 bytes from 1.1.1.4: icmp_seq=90 ttl=64 time=0.187 ms
64 bytes from 1.1.1.4: icmp_seq=91 ttl=64 time=0.137 ms
64 bytes from 1.1.1.4: icmp_seq=92 ttl=64 time=0.165 ms
64 bytes from 1.1.1.4: icmp_seq=93 ttl=64 time=0.164 ms
64 bytes from 1.1.1.4: icmp_seq=94 ttl=64 time=0.164 ms
64 bytes from 1.1.1.4: icmp_seq=95 ttl=64 time=0.197 ms
64 bytes from 1.1.1.4: icmp_seq=96 ttl=64 time=0.170 ms
64 bytes from 1.1.1.4: icmp_seq=102 ttl=64 time=0.220 ms
64 bytes from 1.1.1.4: icmp_seq=103 ttl=64 time=0.232 ms
64 bytes from 1.1.1.4: icmp_seq=104 ttl=64 time=0.250 ms
64 bytes from 1.1.1.4: icmp_seq=105 ttl=64 time=0.191 ms
64 bytes from 1.1.1.4: icmp_seq=106 ttl=64 time=0.240 ms
64 bytes from 1.1.1.4: icmp_seq=107 ttl=64 time=0.179 ms
64 bytes from 1.1.1.4: icmp_seq=108 ttl=64 time=0.244 ms
64 bytes from 1.1.1.4: icmp_seq=109 ttl=64 time=0.160 ms
64 bytes from 1.1.1.4: icmp_seq=110 ttl=64 time=0.203 ms
64 bytes from 1.1.1.4: icmp_seq=111 ttl=64 time=0.190 ms
64 bytes from 1.1.1.4: icmp_seq=112 ttl=64 time=0.206 ms
64 bytes from 1.1.1.4: icmp_seq=113 ttl=64 time=0.189 ms
64 bytes from 1.1.1.4: icmp_seq=114 ttl=64 time=0.195 ms
64 bytes from 1.1.1.4: icmp_seq=115 ttl=64 time=0.186 ms
64 bytes from 1.1.1.4: icmp_seq=116 ttl=64 time=0.181 ms
64 bytes from 1.1.1.4: icmp_seq=117 ttl=64 time=0.199 ms
64 bytes from 1.1.1.4: icmp_seq=118 ttl=64 time=0.191 ms
64 bytes from 1.1.1.4: icmp_seq=119 ttl=64 time=0.177 ms
64 bytes from 1.1.1.4: icmp_seq=120 ttl=64 time=0.236 ms
64 bytes from 1.1.1.4: icmp_seq=121 ttl=64 time=0.179 ms
64 bytes from 1.1.1.4: icmp_seq=122 ttl=64 time=0.183 ms
64 bytes from 1.1.1.4: icmp_seq=123 ttl=64 time=0.197 ms
64 bytes from 1.1.1.4: icmp_seq=124 ttl=64 time=0.192 ms
64 bytes from 1.1.1.4: icmp_seq=125 ttl=64 time=0.177 ms
64 bytes from 1.1.1.4: icmp_seq=126 ttl=64 time=0.179 ms
64 bytes from 1.1.1.4: icmp_seq=127 ttl=64 time=0.173 ms
64 bytes from 1.1.1.4: icmp_seq=128 ttl=64 time=0.250 ms
64 bytes from 1.1.1.4: icmp_seq=129 ttl=64 time=0.179 ms
64 bytes from 1.1.1.4: icmp_seq=130 ttl=64 time=0.160 ms
64 bytes from 1.1.1.4: icmp_seq=131 ttl=64 time=0.186 ms
64 bytes from 1.1.1.4: icmp_seq=132 ttl=64 time=0.182 ms
64 bytes from 1.1.1.4: icmp_seq=133 ttl=64 time=0.180 ms
64 bytes from 1.1.1.4: icmp_seq=134 ttl=64 time=0.180 ms
64 bytes from 1.1.1.4: icmp_seq=135 ttl=64 time=0.185 ms
64 bytes from 1.1.1.4: icmp_seq=136 ttl=64 time=0.171 ms
64 bytes from 1.1.1.4: icmp_seq=137 ttl=64 time=0.183 ms
64 bytes from 1.1.1.4: icmp_seq=138 ttl=64 time=0.200 ms
64 bytes from 1.1.1.4: icmp_seq=139 ttl=64 time=0.231 ms
64 bytes from 1.1.1.4: icmp_seq=140 ttl=64 time=0.204 ms
64 bytes from 1.1.1.4: icmp_seq=141 ttl=64 time=0.177 ms
64 bytes from 1.1.1.4: icmp_seq=142 ttl=64 time=0.173 ms
64 bytes from 1.1.1.4: icmp_seq=143 ttl=64 time=0.186 ms
64 bytes from 1.1.1.4: icmp_seq=144 ttl=64 time=0.169 ms
64 bytes from 1.1.1.4: icmp_seq=145 ttl=64 time=0.183 ms
64 bytes from 1.1.1.4: icmp_seq=146 ttl=64 time=0.202 ms
64 bytes from 1.1.1.4: icmp_seq=147 ttl=64 time=0.231 ms
64 bytes from 1.1.1.4: icmp_seq=148 ttl=64 time=0.230 ms
64 bytes from 1.1.1.4: icmp_seq=149 ttl=64 time=0.188 ms
64 bytes from 1.1.1.4: icmp_seq=150 ttl=64 time=0.202 ms
64 bytes from 1.1.1.4: icmp_seq=151 ttl=64 time=0.236 ms
64 bytes from 1.1.1.4: icmp_seq=152 ttl=64 time=0.163 ms
64 bytes from 1.1.1.4: icmp_seq=153 ttl=64 time=0.195 ms
64 bytes from 1.1.1.4: icmp_seq=154 ttl=64 time=0.179 ms
64 bytes from 1.1.1.4: icmp_seq=155 ttl=64 time=0.215 ms
64 bytes from 1.1.1.4: icmp_seq=156 ttl=64 time=0.193 ms
64 bytes from 1.1.1.4: icmp_seq=157 ttl=64 time=0.194 ms
64 bytes from 1.1.1.4: icmp_seq=158 ttl=64 time=0.170 ms
64 bytes from 1.1.1.4: icmp_seq=159 ttl=64 time=0.170 ms
64 bytes from 1.1.1.4: icmp_seq=160 ttl=64 time=0.232 ms
64 bytes from 1.1.1.4: icmp_seq=161 ttl=64 time=0.167 ms
64 bytes from 1.1.1.4: icmp_seq=162 ttl=64 time=0.183 ms
64 bytes from 1.1.1.4: icmp_seq=163 ttl=64 time=0.152 ms
64 bytes from 1.1.1.4: icmp_seq=164 ttl=64 time=0.206 ms
64 bytes from 1.1.1.4: icmp_seq=165 ttl=64 time=0.207 ms
64 bytes from 1.1.1.4: icmp_seq=166 ttl=64 time=0.223 ms
64 bytes from 1.1.1.4: icmp_seq=167 ttl=64 time=0.181 ms
64 bytes from 1.1.1.4: icmp_seq=168 ttl=64 time=0.193 ms
64 bytes from 1.1.1.4: icmp_seq=169 ttl=64 time=0.185 ms
64 bytes from 1.1.1.4: icmp_seq=170 ttl=64 time=0.182 ms
64 bytes from 1.1.1.4: icmp_seq=171 ttl=64 time=0.170 ms
64 bytes from 1.1.1.4: icmp_seq=172 ttl=64 time=0.241 ms
64 bytes from 1.1.1.4: icmp_seq=173 ttl=64 time=0.181 ms
64 bytes from 1.1.1.4: icmp_seq=174 ttl=64 time=0.169 ms
64 bytes from 1.1.1.4: icmp_seq=175 ttl=64 time=0.166 ms
64 bytes from 1.1.1.4: icmp_seq=176 ttl=64 time=0.235 ms
